category,code,description,unit,budget_quantity
Civil_&_Earthworks,CEW.001,Topsoil strip and stockpile,m3,1412
Civil_&_Earthworks,CEW.002,Bulk excavation,m3,1819
Civil_&_Earthworks,CEW.003,Trench excavation for pipelines,m3,6274
Civil_&_Earthworks,CEW.004,Backfill and compaction,m3,5006
Civil_&_Earthworks,CEW.005,Gravel sub-base 300mm thick,m2,4512
Civil_&_Earthworks,CEW.006,Road base course 200mm,m2,2128
Civil_&_Earthworks,CEW.007,Asphalt paving 75mm,m2,1443
Civil_&_Earthworks,CEW.008,Concrete kerb and channel,m,1608
Civil_&_Earthworks,CEW.009,Chain-link security fence 2.4m,m,939
Civil_&_Earthworks,CEW.010,Vehicle access gate motorised,each,9
Civil_&_Earthworks,CEW.011,Drainage channel concrete lined,m,139
Civil_&_Earthworks,CEW.012,Culvert 600mm dia HDPE,m,161
Civil_&_Earthworks,CEW.013,Rock breaking and disposal,m3,1828
Civil_&_Earthworks,CEW.014,Temporary site hoarding 2m,m,66
Civil_&_Earthworks,CEW.015,Erosion control matting,m2,322
Civil_&_Earthworks,CEW.016,Site clearing and grubbing,ha,6
Civil_&_Earthworks,CEW.017,Sand bedding for pipes 150mm,m3,273
Civil_&_Earthworks,CEW.018,Geotextile filter fabric,m2,2405
Civil_&_Earthworks,CEW.019,Retaining wall mass concrete,m3,308
Civil_&_Earthworks,CEW.020,Slope stabilisation shotcrete,m2,1332
Concrete_Works,CON.001,Lean concrete blinding 50mm,m3,33
Concrete_Works,CON.002,Reinforced concrete foundation,m3,624
Concrete_Works,CON.003,Concrete pile cap,m3,121
Concrete_Works,CON.004,Concrete slab on grade 200mm,m3,1566
Concrete_Works,CON.005,Concrete column,m3,176
Concrete_Works,CON.006,Concrete beam,m3,289
Concrete_Works,CON.007,Concrete wall 250mm,m3,234
Concrete_Works,CON.008,Precast concrete plank,m2,1002
Concrete_Works,CON.009,Concrete bund wall,m3,124
Concrete_Works,CON.010,Concrete pump sump,each,19
Concrete_Works,CON.011,Formwork to slab soffit,m2,2478
Concrete_Works,CON.012,Formwork to columns,m2,878
Concrete_Works,CON.013,Formwork to walls,m2,1880
Concrete_Works,CON.014,Rebar supply and fix 16mm,ton,6
Concrete_Works,CON.015,Rebar supply and fix 20mm,ton,86
Concrete_Works,CON.016,Rebar supply and fix 32mm,ton,91
Concrete_Works,CON.017,Concrete finishing and curing,m2,3662
Concrete_Works,CON.018,Expansion joint 20mm,m,224
Concrete_Works,CON.019,Waterstop PVC 200mm,m,162
Concrete_Works,CON.020,Concrete anchor block,each,24
Steel_Structures,STL.001,Primary steel columns HD section,ton,60
Steel_Structures,STL.002,Primary steel beams UC section,ton,177
Steel_Structures,STL.003,Secondary steel purlins,ton,15
Steel_Structures,STL.004,Steel bracing system,ton,6
Steel_Structures,STL.005,Steel grating flooring 25mm,m2,828
Steel_Structures,STL.006,Chequer plate flooring 6mm,m2,69
Steel_Structures,STL.007,Handrail and kickplate,m,785
Steel_Structures,STL.008,Steel staircase,each,12
Steel_Structures,STL.009,Ladder with cage,m,164
Steel_Structures,STL.010,Steel pipe rack structure,ton,72
Steel_Structures,STL.011,Structural steel fabrication,ton,423
Steel_Structures,STL.012,Structural steel erection,ton,32
Steel_Structures,STL.013,Anchor bolts and baseplate,each,393
Steel_Structures,STL.014,Steel monorail beam,m,127
Steel_Structures,STL.015,Davit arm for maintenance,each,19
Steel_Structures,STL.016,Steel shelter and canopy structure,m2,83
Steel_Structures,STL.017,Modular skid baseframe,ton,26
Steel_Structures,STL.018,Miscellaneous steelwork,ton,3
Steel_Structures,STL.019,Steel coaming 150mm,m,302
Steel_Structures,STL.020,Steel access platform,m2,160
Piping,PIP.001,CS pipe 2in SCH40 seamless,m,1748
Piping,PIP.002,CS pipe 4in SCH40 seamless,m,2624
Piping,PIP.003,CS pipe 6in SCH40 seamless,m,2583
Piping,PIP.004,CS pipe 8in SCH40 seamless,m,1511
Piping,PIP.005,CS pipe 10in SCH40 seamless,m,1202
Piping,PIP.006,CS pipe 12in SCH40 seamless,m,413
Piping,PIP.007,CS pipe 16in SCH40 LSAW,m,731
Piping,PIP.008,CS pipe 20in SCH40 LSAW,m,81
Piping,PIP.009,SS 316L pipe 2in SCH40,m,33
Piping,PIP.010,SS 316L pipe 4in SCH40,m,348
Piping,PIP.011,CS elbow 90deg 4in BW,each,126
Piping,PIP.012,CS elbow 90deg 6in BW,each,84
Piping,PIP.013,CS elbow 90deg 8in BW,each,25
Piping,PIP.014,CS tee equal 4in BW,each,34
Piping,PIP.015,CS tee equal 6in BW,each,17
Piping,PIP.016,CS reducer 6x4in BW,each,53
Piping,PIP.017,CS reducer 8x6in BW,each,40
Piping,PIP.018,CS flange RFWN 4in 150lb CS,each,242
Piping,PIP.019,CS flange RFWN 6in 150lb CS,each,172
Piping,PIP.020,CS flange RFWN 8in 300lb CS,each,98
Piping,PIP.021,CS flange RFWN 10in 300lb CS,each,25
Piping,PIP.022,CS flange blind 4in 150lb,each,52
Piping,PIP.023,CS flange blind 6in 150lb,each,50
Piping,PIP.024,CS studbolt set 4in 150lb,set,117
Piping,PIP.025,CS studbolt set 6in 150lb,set,181
Piping,PIP.026,Gasket spiral wound 4in 150lb,each,146
Piping,PIP.027,Gasket spiral wound 6in 150lb,each,189
Piping,PIP.028,Pipe support shoe CS 4in,each,489
Piping,PIP.029,Pipe support shoe CS 6in,each,359
Piping,PIP.030,Pipe support guide CS 8in,each,170
Piping,PIP.031,Spring hanger variable 4in,each,6
Piping,PIP.032,Flexible hose SS 2in 600mm,each,40
Piping,PIP.033,Pipe spool fabrication CS 4in,m,670
Piping,PIP.034,Pipe spool fabrication CS 6in,m,195
Piping,PIP.035,Pipe spool installation 4in,m,566
Piping,PIP.036,Pipe spool installation 6in,m,270
Piping,PIP.037,Piping hydrostatic test 6in,m,187
Piping,PIP.038,Piping flushing and cleaning,lot,8
Piping,PIP.039,HDPE pipe DN110 SDR11,m,827
Piping,PIP.040,HDPE pipe DN200 SDR11,m,602
Valves,VLV.001,Gate valve 2in 150lb CS RF,each,42
Valves,VLV.002,Gate valve 4in 150lb CS RF,each,37
Valves,VLV.003,Gate valve 6in 150lb CS RF,each,9
Valves,VLV.004,Gate valve 8in 150lb CS RF,each,11
Valves,VLV.005,Gate valve 10in 300lb CS RF,each,14
Valves,VLV.006,Ball valve 2in 150lb CS FF,each,12
Valves,VLV.007,Ball valve 4in 150lb CS FF,each,16
Valves,VLV.008,Ball valve 6in 150lb CS FF,each,4
Valves,VLV.009,Check valve 4in 150lb CS RF,each,22
Valves,VLV.010,Check valve 6in 150lb CS RF,each,14
Valves,VLV.011,Check valve 8in 300lb CS RF,each,9
Valves,VLV.012,Globe valve 2in 150lb CS RF,each,6
Valves,VLV.013,Globe valve 4in 150lb CS RF,each,8
Valves,VLV.014,Butterfly valve 8in 150lb CS,each,19
Valves,VLV.015,Butterfly valve 12in 150lb CS,each,15
Valves,VLV.016,Control valve 4in pneumatic,each,11
Valves,VLV.017,Control valve 6in pneumatic,each,4
Valves,VLV.018,Safety relief valve 2in set,each,16
Valves,VLV.019,Safety relief valve 4in set,each,7
Valves,VLV.020,Pressure regulator valve 2in,each,15
Valves,VLV.021,Needle valve half-in SS316,each,23
Valves,VLV.022,Valve actuator pneumatic 4in,each,5
Valves,VLV.023,Valve actuator electric 6in,each,3
Valves,VLV.024,Valve position indicator,each,17
Valves,VLV.025,Triple offset butterfly 16in,each,5
Mechanical_Equipment,MCH.001,Centrifugal pump 50m3/h,each,9
Mechanical_Equipment,MCH.002,Centrifugal pump 100m3/h,each,5
Mechanical_Equipment,MCH.003,Centrifugal pump 200m3/h,each,6
Mechanical_Equipment,MCH.004,Vertical turbine pump,each,5
Mechanical_Equipment,MCH.005,Submersible pump 10m3/h,each,7
Mechanical_Equipment,MCH.006,Gear pump chemical dosing,each,15
Mechanical_Equipment,MCH.007,Screw compressor 100kW,each,4
Mechanical_Equipment,MCH.008,Reciprocating compressor,each,2
Mechanical_Equipment,MCH.009,Air cooled heat exchanger,each,4
Mechanical_Equipment,MCH.010,Shell and tube heat exchanger,each,2
Mechanical_Equipment,MCH.011,Plate heat exchanger,each,8
Mechanical_Equipment,MCH.012,Vertical pressure vessel,each,1
Mechanical_Equipment,MCH.013,Horizontal separator vessel,each,1
Mechanical_Equipment,MCH.014,Filter separator skid,each,1
Mechanical_Equipment,MCH.015,Pig launcher DN200,each,2
Mechanical_Equipment,MCH.016,Pig receiver DN200,each,6
Mechanical_Equipment,MCH.017,Crude oil booster pump,each,2
Mechanical_Equipment,MCH.018,Flare stack 20m,each,3
Mechanical_Equipment,MCH.019,Emergency shutdown valve,each,15
Mechanical_Equipment,MCH.020,Metering skid package,each,1
Mechanical_Equipment,MCH.021,Chemical injection package,each,4
Mechanical_Equipment,MCH.022,Sample point connection,each,53
